2024-10-05 11:13:04,096 - INFO - Successfully created polyanets at (14, 13)
2024-10-05 11:13:05,275 - INFO - Successfully created polyanets at (14, 15)
2024-10-05 11:13:06,463 - INFO - Successfully created polyanets at (14, 16)
2024-10-05 11:13:08,444 - INFO - Successfully created soloons at (14, 17)
2024-10-05 11:13:09,758 - INFO - Successfully created comeths at (15, 1)
2024-10-05 11:13:10,999 - INFO - Successfully created polyanets at (15, 8)
2024-10-05 11:13:12,293 - INFO - Successfully created polyanets at (15, 9)
2024-10-05 11:13:13,511 - INFO - Successfully created polyanets at (15, 12)
2024-10-05 11:13:14,695 - INFO - Successfully created polyanets at (15, 14)
2024-10-05 11:13:15,898 - INFO - Successfully created polyanets at (15, 17)
2024-10-05 11:13:17,278 - INFO - Successfully created polyanets at (15, 18)
2024-10-05 11:13:18,551 - INFO - Successfully created soloons at (15, 19)
2024-10-05 11:13:19,742 - INFO - Successfully created comeths at (15, 26)
2024-10-05 11:13:21,021 - INFO - Successfully created comeths at (16, 3)
2024-10-05 11:13:22,330 - INFO - Successfully created polyanets at (16, 6)
2024-10-05 11:13:23,560 - INFO - Successfully created polyanets at (16, 7)
2024-10-05 11:13:24,819 - INFO - Successfully created soloons at (16, 8)
2024-10-05 11:13:25,989 - INFO - Successfully created polyanets at (16, 12)
2024-10-05 11:13:27,566 - INFO - Successfully created polyanets at (16, 14)
2024-10-05 11:13:28,845 - INFO - Successfully created polyanets at (16, 19)
2024-10-05 11:13:30,021 - INFO - Successfully created polyanets at (16, 20)
2024-10-05 11:13:31,180 - INFO - Successfully created soloons at (16, 21)
2024-10-05 11:13:32,423 - INFO - Successfully created polyanets at (17, 5)
2024-10-05 11:13:33,798 - INFO - Successfully created polyanets at (17, 11)
2024-10-05 11:13:34,953 - INFO - Successfully created soloons at (17, 14)
2024-10-05 11:13:36,186 - INFO - Successfully created polyanets at (17, 15)
2024-10-05 11:13:37,523 - INFO - Successfully created polyanets at (17, 21)
2024-10-05 11:13:38,746 - INFO - Successfully created comeths at (17, 24)
2024-10-05 11:13:39,987 - INFO - Successfully created polyanets at (18, 5)
2024-10-05 11:13:41,182 - INFO - Successfully created soloons at (18, 6)
2024-10-05 11:13:42,668 - INFO - Successfully created polyanets at (18, 11)
2024-10-05 11:13:44,123 - INFO - Successfully created polyanets at (18, 15)
2024-10-05 11:13:45,370 - INFO - Successfully created polyanets at (18, 21)
2024-10-05 11:13:46,558 - INFO - Successfully created soloons at (18, 22)
2024-10-05 11:13:47,931 - INFO - Successfully created polyanets at (19, 4)
2024-10-05 11:13:49,106 - INFO - Successfully created polyanets at (19, 10)
2024-10-05 11:13:50,276 - INFO - Successfully created soloons at (19, 11)
2024-10-05 11:13:51,542 - INFO - Successfully created polyanets at (19, 16)
2024-10-05 11:13:52,721 - INFO - Successfully created polyanets at (19, 22)
2024-10-05 11:13:53,900 - INFO - Successfully created comeths at (20, 0)
2024-10-05 11:13:55,068 - INFO - Successfully created polyanets at (20, 4)
2024-10-05 11:13:56,467 - INFO - Successfully created polyanets at (20, 10)
2024-10-05 11:13:57,707 - INFO - Successfully created polyanets at (20, 16)
2024-10-05 11:13:58,901 - INFO - Successfully created polyanets at (20, 22)
2024-10-05 11:14:00,063 - INFO - Successfully created polyanets at (21, 3)
2024-10-05 11:14:01,300 - INFO - Successfully created polyanets at (21, 8)
2024-10-05 11:14:02,703 - INFO - Successfully created polyanets at (21, 9)
2024-10-05 11:14:04,122 - INFO - Successfully created soloons at (21, 10)
2024-10-05 11:14:05,510 - INFO - Successfully created soloons at (21, 16)
2024-10-05 11:14:06,752 - INFO - Successfully created polyanets at (21, 17)
2024-10-05 11:14:07,933 - INFO - Successfully created polyanets at (21, 18)
